#NAME	SENSE	SAMPLE	HAPLOTYPE	LOCUS	PHASE_BLOCK	SUBRANGE
HG02145#2#JAHKSF010000141.1#0[16271630-29911514]	HAPLOTYPE	HG02145	2	JAHKSF010000141.1	0	16271630-29911514
HG00438#1#JAHBCB010000020.1#0[3349862-13454264]	HAPLOTYPE	HG00438	1	JAHBCB010000020.1	0	3349862-13454264
HG03579#2#JAGYVT010000099.1#0	HAPLOTYPE	HG03579	2	JAGYVT010000099.1	0	NO_SUBRANGE
HG01071#2#JAHBCE010000025.1#0	HAPLOTYPE	HG01071	2	JAHBCE010000025.1	0	NO_SUBRANGE
HG02257#2#JAGYVH010000014.1#0[12-22033692]	HAPLOTYPE	HG02257	2	JAGYVH010000014.1	0	12-22033692
HG02080#2#JAHEOV010000076.1#0[79749-25033680]	HAPLOTYPE	HG02080	2	JAHEOV010000076.1	0	79749-25033680
HG00735#1#JAHBCH010000058.1#0	HAPLOTYPE	HG00735	1	JAHBCH010000058.1	0	NO_SUBRANGE
HG01175#2#JAHALZ010000021.1#0	HAPLOTYPE	HG01175	2	JAHALZ010000021.1	0	NO_SUBRANGE
HG01928#1#JAGYVQ010000147.1#0	HAPLOTYPE	HG01928	1	JAGYVQ010000147.1	0	NO_SUBRANGE
HG01109#2#JAHEOZ010000101.1#0	HAPLOTYPE	HG01109	2	JAHEOZ010000101.1	0	NO_SUBRANGE
HG02257#2#JAGYVH010000096.1#0	HAPLOTYPE	HG02257	2	JAGYVH010000096.1	0	NO_SUBRANGE
HG03540#2#JAGYVX010000058.1#0[771-20977281]	HAPLOTYPE	HG03540	2	JAGYVX010000058.1	0	771-20977281
GRCh38#0#chrUn_KI270389v1	REFERENCE	GRCh38	0	chrUn_KI270389v1	NO_PHASE_BLOCK	NO_SUBRANGE
HG03492#2#JAHEPH010000017.1#0[373408-633363]	HAPLOTYPE	HG03492	2	JAHEPH010000017.1	0	373408-633363
NA21309#1#JAHEPC010000303.1#0[3731638-4310621]	HAPLOTYPE	NA21309	1	JAHEPC010000303.1	0	3731638-4310621
HG02257#2#JAGYVH010000037.1#0[26097730-26171008]	HAPLOTYPE	HG02257	2	JAGYVH010000037.1	0	26097730-26171008
NA20129#1#JAHEPE010000463.1#0	HAPLOTYPE	NA20129	1	JAHEPE010000463.1	0	NO_SUBRANGE
HG01258#2#JAGYYU010000190.1#0[191-199861]	HAPLOTYPE	HG01258	2	JAGYYU010000190.1	0	191-199861
HG02055#1#JAHEPK010000194.1#0[191-456321]	HAPLOTYPE	HG02055	1	JAHEPK010000194.1	0	191-456321
HG03098#2#JAHEPL010000190.1#0	HAPLOTYPE	HG03098	2	JAHEPL010000190.1	0	NO_SUBRANGE
HG01952#2#JAHAMD010000142.1#0[376-216580]	HAPLOTYPE	HG01952	2	JAHAMD010000142.1	0	376-216580
HG00735#1#JAHBCH010000205.1#0	HAPLOTYPE	HG00735	1	JAHBCH010000205.1	0	NO_SUBRANGE
HG03098#1#JAHEPM010000093.1#0[470-20152363]	HAPLOTYPE	HG03098	1	JAHEPM010000093.1	0	470-20152363
HG02818#1#JAHEOS010000396.1#0	HAPLOTYPE	HG02818	1	JAHEOS010000396.1	0	NO_SUBRANGE
HG02886#1#JAHAOU010000167.1#0[2642690-5304828]	HAPLOTYPE	HG02886	1	JAHAOU010000167.1	0	2642690-5304828
HG01358#1#JAGYZB010000106.1#0[712-1590103]	HAPLOTYPE	HG01358	1	JAGYZB010000106.1	0	712-1590103
HG00733#2#JAHEPP010000589.1#0	HAPLOTYPE	HG00733	2	JAHEPP010000589.1	0	NO_SUBRANGE
HG02818#1#JAHEOS010000140.1#0[2203772-2538124]	HAPLOTYPE	HG02818	1	JAHEOS010000140.1	0	2203772-2538124
HG02572#2#JAHAOV010000562.1#0	HAPLOTYPE	HG02572	2	JAHAOV010000562.1	0	NO_SUBRANGE
HG01928#1#JAGYVQ010000299.1#0	HAPLOTYPE	HG01928	1	JAGYVQ010000299.1	0	NO_SUBRANGE
HG02486#2#JAGYVL010000048.1#0	HAPLOTYPE	HG02486	2	JAGYVL010000048.1	0	NO_SUBRANGE
HG01358#2#JAGYZA010000178.1#0[18615-201696]	HAPLOTYPE	HG01358	2	JAGYZA010000178.1	0	18615-201696
HG03098#2#JAHEPL010000056.1#0[66717-25023793]	HAPLOTYPE	HG03098	2	JAHEPL010000056.1	0	66717-25023793
HG02145#1#JAHKSG010000784.1#0	HAPLOTYPE	HG02145	1	JAHKSG010000784.1	0	NO_SUBRANGE
HG03579#1#JAGYVU010000031.1#0[324-36702914]	HAPLOTYPE	HG03579	1	JAGYVU010000031.1	0	324-36702914
HG00735#2#JAHBCG010000079.1#0[759593-27081855]	HAPLOTYPE	HG00735	2	JAHBCG010000079.1	0	759593-27081855
HG01891#1#JAGYVO010000032.1#0[1573690-111041098]	HAPLOTYPE	HG01891	1	JAGYVO010000032.1	0	1573690-111041098
HG00733#1#JAHEPQ010000081.1#0[10703494-11937561]	HAPLOTYPE	HG00733	1	JAHEPQ010000081.1	0	10703494-11937561
HG02572#2#JAHAOV010000016.1#0[2208129-4062228]	HAPLOTYPE	HG02572	2	JAHAOV010000016.1	0	2208129-4062228
HG01109#2#JAHEOZ010000036.1#0[7332856-42603050]	HAPLOTYPE	HG01109	2	JAHEOZ010000036.1	0	7332856-42603050
HG02723#1#JAHEOU010000096.1#0[531061-19191112]	HAPLOTYPE	HG02723	1	JAHEOU010000096.1	0	531061-19191112
HG01952#2#JAHAMD010000031.1#0[2009425-52832359]	HAPLOTYPE	HG01952	2	JAHAMD010000031.1	0	2009425-52832359
HG02257#2#JAGYVH010000026.1#0[1251900-63974109]	HAPLOTYPE	HG02257	2	JAGYVH010000026.1	0	1251900-63974109
HG03492#1#JAHEPI010000250.1#0	HAPLOTYPE	HG03492	1	JAHEPI010000250.1	0	NO_SUBRANGE
NA21309#1#JAHEPC010000143.1#0	HAPLOTYPE	NA21309	1	JAHEPC010000143.1	0	NO_SUBRANGE
HG03492#1#JAHEPI010000002.1#0[5234825-6653213]	HAPLOTYPE	HG03492	1	JAHEPI010000002.1	0	5234825-6653213
HG00621#1#JAHBCD010000080.1#0	HAPLOTYPE	HG00621	1	JAHBCD010000080.1	0	NO_SUBRANGE
HG03492#2#JAHEPH010000194.1#0[647-5203988]	HAPLOTYPE	HG03492	2	JAHEPH010000194.1	0	647-5203988
HG02717#2#JAHAOR010000159.1#0[3-510352]	HAPLOTYPE	HG02717	2	JAHAOR010000159.1	0	3-510352
HG03098#2#JAHEPL010000104.1#0[422-17888451]	HAPLOTYPE	HG03098	2	JAHEPL010000104.1	0	422-17888451
HG02886#2#JAHAOT010000115.1#0[6088-17197599]	HAPLOTYPE	HG02886	2	JAHAOT010000115.1	0	6088-17197599
HG01358#2#JAGYZA010000024.1#0[911688-1485377]	HAPLOTYPE	HG01358	2	JAGYZA010000024.1	0	911688-1485377
NA21309#2#JAHEPB010000244.1#0[529-3746337]	HAPLOTYPE	NA21309	2	JAHEPB010000244.1	0	529-3746337
HG00733#1#JAHEPQ010000105.1#0	HAPLOTYPE	HG00733	1	JAHEPQ010000105.1	0	NO_SUBRANGE
HG03486#2#JAHEOP010000069.1#0	HAPLOTYPE	HG03486	2	JAHEOP010000069.1	0	NO_SUBRANGE
HG02572#2#JAHAOV010000229.1#0	HAPLOTYPE	HG02572	2	JAHAOV010000229.1	0	NO_SUBRANGE
HG00735#2#JAHBCG010000017.1#0[3870031-107154913]	HAPLOTYPE	HG00735	2	JAHBCG010000017.1	0	3870031-107154913
HG01928#1#JAGYVQ010000227.1#0	HAPLOTYPE	HG01928	1	JAGYVQ010000227.1	0	NO_SUBRANGE
HG02717#2#JAHAOR010000014.1#0[45492983-45733656]	HAPLOTYPE	HG02717	2	JAHAOR010000014.1	0	45492983-45733656
HG02559#2#JAGYVJ010000063.1#0[242337-16105821]	HAPLOTYPE	HG02559	2	JAGYVJ010000063.1	0	242337-16105821
HG01978#2#JAGYVR010000038.1#0[35778-19010507]	HAPLOTYPE	HG01978	2	JAGYVR010000038.1	0	35778-19010507
HG01123#2#JAGYYY010000216.1#0	HAPLOTYPE	HG01123	2	JAGYYY010000216.1	0	NO_SUBRANGE
HG03579#1#JAGYVU010000290.1#0	HAPLOTYPE	HG03579	1	JAGYVU010000290.1	0	NO_SUBRANGE
HG02572#2#JAHAOV010000101.1#0	HAPLOTYPE	HG02572	2	JAHAOV010000101.1	0	NO_SUBRANGE
HG03098#1#JAHEPM010000213.1#0[984943-1254466]	HAPLOTYPE	HG03098	1	JAHEPM010000213.1	0	984943-1254466
HG02055#1#JAHEPK010000086.1#0[2997695-3541935]	HAPLOTYPE	HG02055	1	JAHEPK010000086.1	0	2997695-3541935
HG01243#2#JAHEOX010000136.1#0[209112-13881478]	HAPLOTYPE	HG01243	2	JAHEOX010000136.1	0	209112-13881478
HG02723#2#JAHEOT010000231.1#0[342-939041]	HAPLOTYPE	HG02723	2	JAHEOT010000231.1	0	342-939041
HG01243#2#JAHEOX010000229.1#0	HAPLOTYPE	HG01243	2	JAHEOX010000229.1	0	NO_SUBRANGE
HG01106#1#JAHAMC010000044.1#0	HAPLOTYPE	HG01106	1	JAHAMC010000044.1	0	NO_SUBRANGE
HG01243#2#JAHEOX010000124.1#0	HAPLOTYPE	HG01243	2	JAHEOX010000124.1	0	NO_SUBRANGE
HG01358#1#JAGYZB010000084.1#0[770301-4116973]	HAPLOTYPE	HG01358	1	JAGYZB010000084.1	0	770301-4116973
HG02257#1#JAGYVI010000280.1#0	HAPLOTYPE	HG02257	1	JAGYVI010000280.1	0	NO_SUBRANGE
HG02148#1#JAHAMG010000241.1#0[8-623809]	HAPLOTYPE	HG02148	1	JAHAMG010000241.1	0	8-623809
HG02148#2#JAHAMF010000326.1#0	HAPLOTYPE	HG02148	2	JAHAMF010000326.1	0	NO_SUBRANGE
HG02818#2#JAHEOR010000224.1#0[164-1139302]	HAPLOTYPE	HG02818	2	JAHEOR010000224.1	0	164-1139302
HG03579#1#JAGYVU010000174.1#0[20-5908466]	HAPLOTYPE	HG03579	1	JAGYVU010000174.1	0	20-5908466
HG03516#2#JAGYYS010000086.1#0[447-6488096]	HAPLOTYPE	HG03516	2	JAGYYS010000086.1	0	447-6488096
NA21309#2#JAHEPB010000283.1#0[15-3075489]	HAPLOTYPE	NA21309	2	JAHEPB010000283.1	0	15-3075489
HG01106#2#JAHAMB010000027.1#0[2314-26101271]	HAPLOTYPE	HG01106	2	JAHAMB010000027.1	0	2314-26101271
HG02559#2#JAGYVJ010000037.1#0[16766453-17592018]	HAPLOTYPE	HG02559	2	JAGYVJ010000037.1	0	16766453-17592018
HG03492#1#JAHEPI010000074.1#0	HAPLOTYPE	HG03492	1	JAHEPI010000074.1	0	NO_SUBRANGE
HG01952#2#JAHAMD010000175.1#0	HAPLOTYPE	HG01952	2	JAHAMD010000175.1	0	NO_SUBRANGE
HG00733#2#JAHEPP010000024.1#0[16279534-29465592]	HAPLOTYPE	HG00733	2	JAHEPP010000024.1	0	16279534-29465592
HG02145#1#JAHKSG010000495.1#0	HAPLOTYPE	HG02145	1	JAHKSG010000495.1	0	NO_SUBRANGE
HG03492#1#JAHEPI010000103.1#0[620-4951975]	HAPLOTYPE	HG03492	1	JAHEPI010000103.1	0	620-4951975
HG02723#2#JAHEOT010000333.1#0	HAPLOTYPE	HG02723	2	JAHEOT010000333.1	0	NO_SUBRANGE
HG01123#1#JAGYYZ010000224.1#0	HAPLOTYPE	HG01123	1	JAGYYZ010000224.1	0	NO_SUBRANGE
HG01952#1#JAHAME010000104.1#0[10041-2280697]	HAPLOTYPE	HG01952	1	JAHAME010000104.1	0	10041-2280697
HG02055#2#JAHEPJ010000204.1#0	HAPLOTYPE	HG02055	2	JAHEPJ010000204.1	0	NO_SUBRANGE
HG01258#2#JAGYYU010000040.1#0[7490694-7536428]	HAPLOTYPE	HG01258	2	JAGYYU010000040.1	0	7490694-7536428
HG02145#1#JAHKSG010000153.1#0	HAPLOTYPE	HG02145	1	JAHKSG010000153.1	0	NO_SUBRANGE
NA20129#2#JAHEPD010000133.1#0[444-16874320]	HAPLOTYPE	NA20129	2	JAHEPD010000133.1	0	444-16874320
HG00673#1#JAHBBZ010000062.1#0	HAPLOTYPE	HG00673	1	JAHBBZ010000062.1	0	NO_SUBRANGE
HG03516#1#JAGYYT010000012.1#0[7731579-120719471]	HAPLOTYPE	HG03516	1	JAGYYT010000012.1	0	7731579-120719471
HG02145#1#JAHKSG010000005.1#0[8539645-13076362]	HAPLOTYPE	HG02145	1	JAHKSG010000005.1	0	8539645-13076362
HG02717#1#JAHAOS010000021.1#0[3025171-52709898]	HAPLOTYPE	HG02717	1	JAHAOS010000021.1	0	3025171-52709898
NA20129#1#JAHEPE010000114.1#0	HAPLOTYPE	NA20129	1	JAHEPE010000114.1	0	NO_SUBRANGE
HG01109#1#JAHEPA010000114.1#0	HAPLOTYPE	HG01109	1	JAHEPA010000114.1	0	NO_SUBRANGE
HG01106#1#JAHAMC010000004.1#0	HAPLOTYPE	HG01106	1	JAHAMC010000004.1	0	NO_SUBRANGE
HG02572#1#JAHAOW010000430.1#0	HAPLOTYPE	HG02572	1	JAHAOW010000430.1	0	NO_SUBRANGE
HG02148#1#JAHAMG010000038.1#0[16026-20621186]	HAPLOTYPE	HG02148	1	JAHAMG010000038.1	0	16026-20621186
HG03486#1#JAHEOQ010000361.1#0	HAPLOTYPE	HG03486	1	JAHEOQ010000361.1	0	NO_SUBRANGE
HG03098#1#JAHEPM010000027.1#0[30-36443692]	HAPLOTYPE	HG03098	1	JAHEPM010000027.1	0	30-36443692
HG02818#1#JAHEOS010000312.1#0	HAPLOTYPE	HG02818	1	JAHEOS010000312.1	0	NO_SUBRANGE
HG00438#1#JAHBCB010000079.1#0[2649608-3611444]	HAPLOTYPE	HG00438	1	JAHBCB010000079.1	0	2649608-3611444
GRCh38#chrUn_KI270388v1	REFERENCE	GRCh38	NO_HAPLOTYPE	chrUn_KI270388v1	NO_PHASE_BLOCK	NO_SUBRANGE
HG01123#2#JAGYYY010000008.1#0[2902662-13843199]	HAPLOTYPE	HG01123	2	JAGYYY010000008.1	0	2902662-13843199
HG01109#2#JAHEOZ010000011.1#0	HAPLOTYPE	HG01109	2	JAHEOZ010000011.1	0	NO_SUBRANGE
HG00673#1#JAHBBZ010000019.1#0[19009397-19759234]	HAPLOTYPE	HG00673	1	JAHBBZ010000019.1	0	19009397-19759234
HG01891#1#JAGYVO010000004.1#0[1018086-3579557]	HAPLOTYPE	HG01891	1	JAGYVO010000004.1	0	1018086-3579557
HG01175#1#JAHAMA010000030.1#0	HAPLOTYPE	HG01175	1	JAHAMA010000030.1	0	NO_SUBRANGE
HG01258#2#JAGYYU010000042.1#0	HAPLOTYPE	HG01258	2	JAGYYU010000042.1	0	NO_SUBRANGE
HG03486#1#JAHEOQ010000006.1#0	HAPLOTYPE	HG03486	1	JAHEOQ010000006.1	0	NO_SUBRANGE
HG02109#2#JAHEPF010000188.1#0	HAPLOTYPE	HG02109	2	JAHEPF010000188.1	0	NO_SUBRANGE
HG03453#1#JAGYVW010000057.1#0[411656-18393272]	HAPLOTYPE	HG03453	1	JAGYVW010000057.1	0	411656-18393272
HG02622#2#JAHAON010000068.1#0	HAPLOTYPE	HG02622	2	JAHAON010000068.1	0	NO_SUBRANGE
HG01358#1#JAGYZB010000150.1#0	HAPLOTYPE	HG01358	1	JAGYZB010000150.1	0	NO_SUBRANGE
NA20129#2#JAHEPD010000101.1#0[918412-27243800]	HAPLOTYPE	NA20129	2	JAHEPD010000101.1	0	918412-27243800
HG03486#2#JAHEOP010000272.1#0	HAPLOTYPE	HG03486	2	JAHEOP010000272.1	0	NO_SUBRANGE
HG03486#1#JAHEOQ010000196.1#0[854957-1728150]	HAPLOTYPE	HG03486	1	JAHEOQ010000196.1	0	854957-1728150
HG01358#1#JAGYZB010000012.1#0[4542783-4582136]	HAPLOTYPE	HG01358	1	JAGYZB010000012.1	0	4542783-4582136
HG01175#2#JAHALZ010000102.1#0	HAPLOTYPE	HG01175	2	JAHALZ010000102.1	0	NO_SUBRANGE
HG01258#1#JAGYYV010000119.1#0	HAPLOTYPE	HG01258	1	JAGYYV010000119.1	0	NO_SUBRANGE
HG02486#1#JAGYVM010000243.1#0[7927-83521]	HAPLOTYPE	HG02486	1	JAGYVM010000243.1	0	7927-83521
HG02486#1#JAGYVM010000279.1#0	HAPLOTYPE	HG02486	1	JAGYVM010000279.1	0	NO_SUBRANGE
HG03579#2#JAGYVT010000014.1#0[32583743-33009768]	HAPLOTYPE	HG03579	2	JAGYVT010000014.1	0	32583743-33009768
HG03492#2#JAHEPH010000231.1#0[2859-4015590]	HAPLOTYPE	HG03492	2	JAHEPH010000231.1	0	2859-4015590
HG03453#1#JAGYVW010000085.1#0[3196361-3882958]	HAPLOTYPE	HG03453	1	JAGYVW010000085.1	0	3196361-3882958
HG03098#1#JAHEPM010000011.1#0	HAPLOTYPE	HG03098	1	JAHEPM010000011.1	0	NO_SUBRANGE
HG01109#1#JAHEPA010000092.1#0	HAPLOTYPE	HG01109	1	JAHEPA010000092.1	0	NO_SUBRANGE
HG00741#1#JAHALY010000206.1#0	HAPLOTYPE	HG00741	1	JAHALY010000206.1	0	NO_SUBRANGE
HG01243#2#JAHEOX010000074.1#0	HAPLOTYPE	HG01243	2	JAHEOX010000074.1	0	NO_SUBRANGE
HG01358#2#JAGYZA010000267.1#0[125-205341]	HAPLOTYPE	HG01358	2	JAGYZA010000267.1	0	125-205341
HG02717#2#JAHAOR010000129.1#0	HAPLOTYPE	HG02717	2	JAHAOR010000129.1	0	NO_SUBRANGE
HG00621#1#JAHBCD010000119.1#0[5538-2899195]	HAPLOTYPE	HG00621	1	JAHBCD010000119.1	0	5538-2899195
HG01109#1#JAHEPA010000006.1#0[10659-26074276]	HAPLOTYPE	HG01109	1	JAHEPA010000006.1	0	10659-26074276
HG00621#2#JAHBCC010000105.1#0[217303-317563]	HAPLOTYPE	HG00621	2	JAHBCC010000105.1	0	217303-317563
HG01243#2#JAHEOX010000269.1#0	HAPLOTYPE	HG01243	2	JAHEOX010000269.1	0	NO_SUBRANGE
HG02109#2#JAHEPF010000058.1#0[203318-783743]	HAPLOTYPE	HG02109	2	JAHEPF010000058.1	0	203318-783743
HG02622#2#JAHAON010000007.1#0	HAPLOTYPE	HG02622	2	JAHAON010000007.1	0	NO_SUBRANGE
HG01928#1#JAGYVQ010000129.1#0	HAPLOTYPE	HG01928	1	JAGYVQ010000129.1	0	NO_SUBRANGE
HG02257#2#JAGYVH010000031.1#0	HAPLOTYPE	HG02257	2	JAGYVH010000031.1	0	NO_SUBRANGE
HG01891#1#JAGYVO010000024.1#0[469067-32274981]	HAPLOTYPE	HG01891	1	JAGYVO010000024.1	0	469067-32274981
HG02630#1#JAHAOQ010000207.1#0	HAPLOTYPE	HG02630	1	JAHAOQ010000207.1	0	NO_SUBRANGE
HG00673#2#JAHBBY010000025.1#0	HAPLOTYPE	HG00673	2	JAHBBY010000025.1	0	NO_SUBRANGE
HG01952#2#JAHAMD010000135.1#0	HAPLOTYPE	HG01952	2	JAHAMD010000135.1	0	NO_SUBRANGE
HG00733#2#JAHEPP010000064.1#0[2633-31442361]	HAPLOTYPE	HG00733	2	JAHEPP010000064.1	0	2633-31442361
HG03579#1#JAGYVU010000073.1#0[3180441-11997920]	HAPLOTYPE	HG03579	1	JAGYVU010000073.1	0	3180441-11997920
HG02109#1#JAHEPG010000104.1#0[2-5902734]	HAPLOTYPE	HG02109	1	JAHEPG010000104.1	0	2-5902734
NA20129#1#JAHEPE010000006.1#0	HAPLOTYPE	NA20129	1	JAHEPE010000006.1	0	NO_SUBRANGE
HG02055#1#JAHEPK010000092.1#0[768524-29523131]	HAPLOTYPE	HG02055	1	JAHEPK010000092.1	0	768524-29523131
HG03098#1#JAHEPM010000343.1#0[21154-54721]	HAPLOTYPE	HG03098	1	JAHEPM010000343.1	0	21154-54721
HG01978#1#JAGYVS010000014.1#0	HAPLOTYPE	HG01978	1	JAGYVS010000014.1	0	NO_SUBRANGE
HG01978#2#JAGYVR010000022.1#0[59773933-60293749]	HAPLOTYPE	HG01978	2	JAGYVR010000022.1	0	59773933-60293749
HG03516#2#JAGYYS010000233.1#0	HAPLOTYPE	HG03516	2	JAGYYS010000233.1	0	NO_SUBRANGE
HG01106#1#JAHAMC010000144.1#0	HAPLOTYPE	HG01106	1	JAHAMC010000144.1	0	NO_SUBRANGE
HG03453#2#JAGYVV010000134.1#0[1760-35322946]	HAPLOTYPE	HG03453	2	JAGYVV010000134.1	0	1760-35322946
HG01258#2#JAGYYU010000140.1#0	HAPLOTYPE	HG01258	2	JAGYYU010000140.1	0	NO_SUBRANGE
HG03540#2#JAGYVX010000099.1#0	HAPLOTYPE	HG03540	2	JAGYVX010000099.1	0	NO_SUBRANGE
HG02145#1#JAHKSG010000299.1#0	HAPLOTYPE	HG02145	1	JAHKSG010000299.1	0	NO_SUBRANGE
HG02723#1#JAHEOU010000131.1#0[7495623-11821356]	HAPLOTYPE	HG02723	1	JAHEOU010000131.1	0	7495623-11821356
HG02148#2#JAHAMF010000018.1#0[94-64026956]	HAPLOTYPE	HG02148	2	JAHAMF010000018.1	0	94-64026956
HG00673#1#JAHBBZ010000420.1#0	HAPLOTYPE	HG00673	1	JAHBBZ010000420.1	0	NO_SUBRANGE
HG01952#1#JAHAME010000167.1#0	HAPLOTYPE	HG01952	1	JAHAME010000167.1	0	NO_SUBRANGE
HG01243#2#JAHEOX010000053.1#0	HAPLOTYPE	HG01243	2	JAHEOX010000053.1	0	NO_SUBRANGE
HG02818#1#JAHEOS010000173.1#0[4186314-4217706]	HAPLOTYPE	HG02818	1	JAHEOS010000173.1	0	4186314-4217706
HG02145#2#JAHKSF010000126.1#0[1915572-2061036]	HAPLOTYPE	HG02145	2	JAHKSF010000126.1	0	1915572-2061036
HG03486#1#JAHEOQ010000148.1#0	HAPLOTYPE	HG03486	1	JAHEOQ010000148.1	0	NO_SUBRANGE
HG01358#2#JAGYZA010000064.1#0[7646703-20103022]	HAPLOTYPE	HG01358	2	JAGYZA010000064.1	0	7646703-20103022
HG02723#1#JAHEOU010000161.1#0	HAPLOTYPE	HG02723	1	JAHEOU010000161.1	0	NO_SUBRANGE
HG01891#1#JAGYVO010000348.1#0	HAPLOTYPE	HG01891	1	JAGYVO010000348.1	0	NO_SUBRANGE
HG02109#1#JAHEPG010000061.1#0[45015942-45109068]	HAPLOTYPE	HG02109	1	JAHEPG010000061.1	0	45015942-45109068
HG02717#1#JAHAOS010000059.1#0[288-37189400]	HAPLOTYPE	HG02717	1	JAHAOS010000059.1	0	288-37189400
HG00438#1#JAHBCB010000188.1#0[30018-31256]	HAPLOTYPE	HG00438	1	JAHBCB010000188.1	0	30018-31256
HG03492#1#JAHEPI010000245.1#0	HAPLOTYPE	HG03492	1	JAHEPI010000245.1	0	NO_SUBRANGE
HG02572#1#JAHAOW010000289.1#0	HAPLOTYPE	HG02572	1	JAHAOW010000289.1	0	NO_SUBRANGE
HG01891#2#JAGYVN010000094.1#0[14725-2902800]	HAPLOTYPE	HG01891	2	JAGYVN010000094.1	0	14725-2902800
HG00733#1#JAHEPQ010000011.1#0	HAPLOTYPE	HG00733	1	JAHEPQ010000011.1	0	NO_SUBRANGE
HG02572#2#JAHAOV010000070.1#0	HAPLOTYPE	HG02572	2	JAHAOV010000070.1	0	NO_SUBRANGE
HG03492#2#JAHEPH010000024.1#0[19109251-19113774]	HAPLOTYPE	HG03492	2	JAHEPH010000024.1	0	19109251-19113774
HG02257#1#JAGYVI010000260.1#0	HAPLOTYPE	HG02257	1	JAGYVI010000260.1	0	NO_SUBRANGE
HG02818#1#JAHEOS010000258.1#0	HAPLOTYPE	HG02818	1	JAHEOS010000258.1	0	NO_SUBRANGE
HG00733#2#JAHEPP010000485.1#0	HAPLOTYPE	HG00733	2	JAHEPP010000485.1	0	NO_SUBRANGE
HG02080#2#JAHEOV010000075.1#0	HAPLOTYPE	HG02080	2	JAHEOV010000075.1	0	NO_SUBRANGE
HG03492#2#JAHEPH010000159.1#0[119-19799690]	HAPLOTYPE	HG03492	2	JAHEPH010000159.1	0	119-19799690
NA20129#2#JAHEPD010000041.1#0[6828255-41625956]	HAPLOTYPE	NA20129	2	JAHEPD010000041.1	0	6828255-41625956
HG02630#1#JAHAOQ010000454.1#0	HAPLOTYPE	HG02630	1	JAHAOQ010000454.1	0	NO_SUBRANGE
HG00741#1#JAHALY010000028.1#0[33571910-34268448]	HAPLOTYPE	HG00741	1	JAHALY010000028.1	0	33571910-34268448
HG01891#1#JAGYVO010000232.1#0	HAPLOTYPE	HG01891	1	JAGYVO010000232.1	0	NO_SUBRANGE
HG00741#2#JAHALX010000109.1#0[2237-4424460]	HAPLOTYPE	HG00741	2	JAHALX010000109.1	0	2237-4424460
